Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Notes
,85,Yes,9,8,64,review
8,98,No,4,9,94,review
3,73,No,5,0,50,excellent
,50,Yes,6,1,41,review
1,70,No,9,9,45,excellent
5,50,No,8,7,37,review
4,95,Yes,9,4,75,review
5,93,No,6,8,80,excellent
8,95,Yes,9,5,94,excellent
4,77,Yes,9,7,62,review
4,92,No,9,0,73,review
3,60,Yes,8,8,43,excellent
7,85,No,8,8,78,review
3,69,No,4,2,51,excellent
,49,Yes,7,0,24,review
5,65,Yes,5,7,46,review
5,66,Yes,4,7,51,review
6,47,Yes,6,8,35,excellent
,78,Yes,9,5,75,excellent
6,47,Yes,8,8,38,review
1,99,No,9,9,79,excellent
8,47,No,8,8,42,excellent
8,94,Yes,5,3,89,excellent
9,73,No,4,4,66,review
9,98,Yes,4,5,100,review
2,55,Yes,6,5,34,excellent
2,80,No,4,9,59,review
3,52,No,4,1,28,review
1,62,Yes,7,3,39,excellent
4,51,Yes,5,8,36,review
4,66,Yes,9,6,52,review
9,61,No,4,8,57,review
9,71,Yes,,5,66,excellent
9,96,Yes,9,6,95,review
,88,No,8,8,79,excellent
,66,No,4,3,42,excellent
5,41,No,4,8,23,excellent
4,84,Yes,9,2,67,review
8,72,Yes,8,7,64,review
2,65,No,7,2,43,excellent
6,67,Yes,5,2,56,review
5,58,Yes,7,2,43,excellent
2,82,No,6,8,55,review
1,44,No,9,9,16,excellent
8,72,Yes,4,2,65,review
2,59,No,7,5,38,excellent
7,69,No,5,3,57,review
9,84,Yes,6,1,83,review
9,47,Yes,7,2,47,excellent
8,77,Yes,4,4,71,excellent
9,56,Yes,5,9,56,excellent
2,83,Yes,4,3,57,excellent
6,40,Yes,4,4,23,excellent
4,42,No,6,0,27,review
4,85,No,5,3,65,review
5,65,No,8,9,54,excellent
3,70,Yes,4,2,50,review
1,47,Yes,5,1,23,excellent
8,82,Yes,4,6,77,review
5,98,Yes,7,9,83,review
3,85,Yes,7,8,66,review
7,47,No,5,0,38,excellent
7,74,Yes,6,6,65,excellent
1,78,No,8,0,54,review
9,67,Yes,7,4,65,review
2,90,No,6,0,68,excellent
5,43,No,8,2,31,review
5,96,No,7,7,83,excellent
8,55,No,8,3,49,excellent
8,52,No,9,0,45,excellent
7,59,No,4,0,46,excellent
7,90,No,5,7,85,review
,44,Yes,7,7,33,excellent
6,94,Yes,7,3,83,excellent
9,76,No,4,3,71,excellent
6,59,Yes,7,9,49,review
2,63,Yes,7,1,39,excellent
2,75,No,9,1,51,excellent
5,73,Yes,7,5,57,excellent
4,97,No,7,7,81,review
2,84,Yes,7,6,65,review
3,87,No,6,6,66,excellent
7,93,Yes,7,2,86,excellent
8,73,No,4,1,66,review
6,58,Yes,9,9,50,excellent
,56,Yes,7,6,46,review
1,44,Yes,8,3,20,review
8,64,No,9,0,58,review
3,57,No,9,0,38,review
6,99,Yes,8,3,91,review
,94,Yes,4,4,77,review
7,92,No,6,4,83,review
7,89,Yes,4,0,79,excellent
9,47,Yes,6,2,50,excellent
5,66,No,5,5,51,excellent
8,54,No,8,9,49,review
8,84,Yes,9,6,79,review
1,52,No,9,0,26,excellent
5,55,Yes,9,7,42,excellent
3,61,Yes,8,3,42,review
1,59,No,,8,35,review
4,52,Yes,,5,31,excellent
8,59,No,9,0,50,excellent
3,41,No,4,1,18,review
2,74,Yes,6,2,50,excellent
9,86,No,9,1,82,excellent
5,94,Yes,8,9,78,excellent
7,58,No,8,6,53,review
2,84,Yes,8,0,65,excellent
9,76,No,9,8,76,review
9,97,Yes,,1,94,excellent
4,93,Yes,5,3,79,excellent
4,45,No,8,7,27,review
6,53,Yes,9,2,43,excellent
6,43,Yes,6,8,30,review
1,61,Yes,8,6,37,review
9,90,Yes,7,9,90,review
2,94,Yes,5,2,68,excellent
5,78,Yes,9,2,64,review
9,75,No,8,4,73,excellent
4,73,No,7,4,53,review
3,66,No,9,9,46,review
7,46,No,6,4,37,review
6,42,Yes,5,8,29,excellent
8,86,Yes,8,8,80,review
,72,No,6,5,52,review
5,41,Yes,,6,29,review
4,81,No,7,9,70,review
4,55,Yes,9,7,40,excellent
4,64,Yes,9,8,49,excellent
8,99,No,,5,92,review
6,54,Yes,8,7,46,review
3,63,No,6,1,42,excellent
5,54,No,5,9,41,review
6,70,No,7,7,60,excellent
5,53,Yes,8,1,41,review
,93,Yes,5,7,83,review
8,53,No,7,1,43,excellent
7,45,Yes,7,2,36,excellent
5,53,No,6,6,38,review
6,56,No,9,8,47,review
4,57,Yes,7,2,40,review
9,59,No,7,4,59,excellent
4,90,Yes,9,8,76,excellent
1,56,Yes,4,6,31,review
7,55,Yes,7,1,44,review
7,79,No,8,4,71,review
4,78,No,5,4,59,review
3,91,Yes,9,8,69,review
8,71,Yes,9,1,63,excellent
5,99,No,9,0,87,review
7,83,Yes,8,3,77,review
4,48,Yes,9,3,31,excellent
4,66,No,8,0,47,review
8,85,No,6,9,78,review
8,91,No,4,6,86,review
2,72,Yes,9,1,48,review
,49,No,4,8,24,excellent
3,56,No,9,6,39,excellent
3,88,No,,6,71,review
1,88,No,5,0,60,review
3,75,No,4,8,54,review
6,56,No,4,9,45,excellent
8,57,No,8,8,51,excellent
6,91,Yes,4,1,78,review
5,62,No,6,9,48,review
,73,Yes,8,8,59,review
3,47,Yes,4,1,28,excellent
4,52,No,4,1,35,excellent
7,62,Yes,4,7,55,excellent
1,96,No,8,2,69,review
7,93,Yes,5,2,87,excellent
1,59,No,7,6,32,excellent
2,61,Yes,9,9,37,excellent
4,86,No,4,5,66,review
1,91,No,7,6,66,excellent
,62,Yes,7,5,56,review
6,80,Yes,4,8,70,excellent
,74,No,4,1,48,review
1,42,Yes,9,7,17,excellent
6,73,No,7,5,59,excellent
4,72,Yes,5,3,56,review
4,85,No,7,5,66,excellent
6,56,Yes,5,5,41,review
7,84,No,6,9,76,review
,58,Yes,5,2,54,review
5,69,No,9,7,57,review
9,62,Yes,8,4,62,excellent
4,54,No,4,9,38,review
2,98,Yes,6,3,73,excellent
3,96,Yes,7,1,72,excellent
1,53,No,5,9,28,excellent
,41,Yes,6,0,28,excellent
6,78,Yes,8,6,67,review
1,88,No,5,9,62,excellent
,57,No,9,2,36,review
5,45,No,7,2,33,excellent
3,98,No,7,2,74,excellent
3,71,Yes,5,9,52,excellent
3,60,Yes,8,2,38,review
,79,Yes,,1,62,excellent
5,67,No,4,5,50,excellent
4,66,Yes,7,9,48,excellent
1,41,Yes,8,2,15,review
,72,No,7,0,51,excellent
5,55,Yes,4,9,37,review
4,78,Yes,7,8,59,excellent
6,61,No,5,5,46,excellent
4,95,Yes,9,5,78,review
7,82,No,5,9,74,review
7,86,No,9,8,78,excellent
2,52,Yes,8,1,27,review
3,95,Yes,4,9,74,review
1,41,Yes,8,8,15,excellent
8,53,No,8,2,46,excellent
9,95,No,4,2,90,excellent
4,77,Yes,6,2,58,review
6,80,Yes,6,0,65,review
9,67,No,7,9,65,excellent
6,46,Yes,6,6,36,excellent
9,57,Yes,,9,52,excellent
4,95,No,9,6,79,excellent
8,80,Yes,8,1,74,review
9,94,Yes,7,5,93,review
4,75,Yes,8,3,57,excellent
5,80,Yes,4,6,65,excellent
8,75,No,6,6,69,excellent
6,83,No,4,3,71,excellent
7,43,No,7,2,31,excellent
3,96,No,9,6,78,excellent
7,69,Yes,5,8,60,review
8,63,Yes,6,3,58,excellent
6,59,Yes,4,5,46,excellent
,85,Yes,9,6,87,review
6,95,No,6,9,81,excellent
9,70,Yes,8,2,69,review
4,63,Yes,5,4,46,excellent
,46,No,9,0,41,review
4,65,No,6,5,50,excellent
2,52,No,5,4,24,excellent
9,93,Yes,9,6,97,excellent
5,47,No,8,8,35,excellent
4,94,Yes,8,3,82,excellent
2,44,Yes,,8,24,review
1,83,No,7,5,59,review
7,52,No,4,4,42,excellent
6,68,No,5,1,56,review
2,59,Yes,4,0,30,review
,53,Yes,9,7,49,review
,71,Yes,6,5,56,review
8,99,No,9,6,98,excellent
,89,Yes,4,5,79,excellent
5,66,Yes,7,9,54,review
8,95,Yes,9,6,93,excellent
9,64,Yes,9,8,63,review
5,91,No,9,4,76,excellent
5,43,Yes,7,0,27,review
2,60,No,9,0,35,excellent
5,57,No,5,8,39,review
3,78,Yes,8,4,59,review
,54,Yes,7,1,50,excellent
5,92,No,5,2,77,review
8,77,Yes,7,0,70,excellent
1,87,No,7,5,62,excellent
3,91,Yes,8,5,71,review
3,63,Yes,6,2,39,excellent
9,47,No,5,2,41,review
5,67,Yes,7,6,51,excellent
9,60,No,7,0,52,excellent
9,55,No,4,4,49,review
1,99,Yes,9,2,76,excellent
2,93,No,6,4,71,review
5,55,Yes,,3,42,excellent
4,74,Yes,5,5,60,review
9,56,Yes,7,8,53,review
7,48,No,9,1,40,excellent
6,96,Yes,5,9,85,review
7,74,Yes,8,7,70,excellent
1,91,No,6,1,63,excellent
1,68,No,4,3,42,excellent
8,78,No,6,8,73,excellent
,57,No,4,3,35,excellent
9,51,Yes,5,6,48,review
,58,Yes,6,4,49,excellent
6,87,Yes,6,1,75,excellent
,61,Yes,6,7,35,review
1,98,No,8,9,70,review
2,95,No,5,9,71,excellent
6,88,Yes,4,1,74,excellent
6,91,No,6,2,77,excellent
2,54,No,5,9,30,excellent
1,40,No,9,6,13,review
5,41,No,8,4,26,excellent
5,47,No,8,9,35,excellent
2,61,Yes,9,2,40,review
,64,Yes,5,1,55,review
,41,No,4,5,37,review
2,90,No,5,9,64,excellent
2,48,Yes,5,0,23,review
3,48,Yes,7,7,27,review
7,52,No,8,4,42,review
6,45,No,4,4,34,review
8,69,No,7,1,63,review
,54,Yes,9,6,50,excellent
6,90,No,5,4,75,review
3,92,No,9,7,74,excellent
3,54,No,8,4,39,excellent
1,89,No,7,8,63,excellent
7,46,No,7,4,36,excellent
5,97,No,4,2,84,review
4,50,No,5,1,30,review
,79,No,4,4,60,review
4,77,Yes,7,9,61,excellent
6,79,Yes,7,9,70,review
,41,Yes,4,4,32,excellent
8,90,No,7,5,87,excellent
5,87,Yes,6,1,72,excellent
6,78,Yes,8,4,68,excellent
4,49,Yes,5,0,29,excellent
,83,Yes,8,2,78,review
8,56,Yes,5,2,45,excellent
1,46,No,7,2,20,review
2,93,Yes,4,2,66,excellent
9,79,No,4,7,77,excellent
8,78,No,7,0,72,review
3,43,Yes,5,5,26,excellent
8,74,No,7,5,67,review
1,90,Yes,5,0,67,excellent
4,86,No,7,0,68,excellent
3,75,No,7,2,56,excellent
6,70,Yes,7,7,61,review
7,64,No,4,5,50,review
4,80,No,5,3,68,excellent
7,52,No,9,4,47,excellent
9,57,No,7,9,56,review
2,60,No,8,2,40,review
3,87,No,8,5,68,review
5,40,No,4,5,26,excellent
3,75,No,6,5,55,review
8,89,Yes,9,8,84,review
8,47,No,4,9,40,excellent
8,91,Yes,6,7,85,review
9,87,Yes,4,5,85,excellent
4,60,No,8,1,40,review
5,82,No,7,3,68,review
5,91,Yes,5,5,74,excellent
8,92,Yes,7,8,90,review
7,92,Yes,8,1,82,review
9,60,No,5,5,57,review
8,66,No,6,9,61,review
2,58,No,6,9,38,excellent
,62,Yes,8,9,46,review
6,90,No,5,6,80,excellent
2,89,No,7,7,67,excellent
7,90,No,8,8,84,review
,82,No,6,4,58,review
3,74,Yes,8,8,55,excellent
2,79,No,7,8,57,review
8,91,No,4,6,87,review
6,90,Yes,9,1,80,review
1,81,No,,7,54,excellent
1,87,Yes,9,4,64,excellent
7,44,Yes,4,7,33,review
8,91,No,7,1,83,excellent
5,80,Yes,5,6,66,excellent
5,47,No,8,4,33,review
4,50,Yes,7,3,31,excellent
,55,Yes,4,9,40,excellent
6,78,No,6,5,66,excellent
3,86,Yes,9,4,67,review
9,63,No,9,5,64,excellent
,60,No,7,8,52,excellent
,91,No,9,0,68,excellent
7,62,No,9,0,58,excellent
5,88,Yes,7,5,72,review
,77,No,7,1,65,excellent
2,86,Yes,4,7,65,excellent
4,47,No,4,6,24,review
6,46,Yes,9,5,35,review
7,41,Yes,7,3,34,review
5,69,Yes,7,8,57,excellent
9,52,Yes,9,6,54,excellent
3,62,No,5,6,42,review
1,68,No,6,4,39,review
4,77,Yes,8,0,62,excellent
9,76,Yes,,1,71,excellent
4,59,No,9,7,42,review
2,72,Yes,8,4,52,review
5,68,Yes,4,1,54,review
3,89,No,4,4,68,excellent
9,54,Yes,5,7,50,excellent
4,62,Yes,9,3,46,excellent
6,81,No,4,2,68,review
2,42,Yes,9,4,19,excellent
6,76,No,9,6,68,excellent
3,95,No,7,1,74,review
9,68,No,6,0,63,review
2,84,No,6,4,60,excellent
9,47,Yes,9,6,47,excellent
5,61,No,,7,47,review
8,92,No,6,7,87,review
2,68,Yes,8,9,45,excellent
,41,No,8,8,31,excellent
3,80,Yes,7,0,61,excellent
5,88,No,5,6,73,review
8,98,No,4,9,92,review
1,89,No,,7,65,review
5,84,No,8,5,69,excellent
3,40,Yes,9,9,20,excellent
4,83,Yes,6,3,66,excellent
2,59,Yes,7,6,38,review
9,91,No,5,2,81,excellent
3,60,No,8,1,39,excellent
2,76,No,9,5,53,excellent
9,47,Yes,7,1,44,excellent
7,66,No,9,5,58,excellent
6,86,Yes,7,9,79,excellent
1,98,Yes,8,2,75,review
5,74,Yes,7,1,59,excellent
3,45,No,6,7,23,review
1,99,No,7,3,74,excellent
,84,No,5,3,65,excellent
2,83,No,7,6,60,review
2,58,Yes,4,7,32,excellent
3,57,Yes,7,8,38,excellent
8,95,No,9,9,91,excellent
8,40,No,8,7,34,excellent
7,64,No,4,3,46,excellent
6,66,Yes,8,1,55,excellent
9,46,No,9,9,43,review
4,83,Yes,5,4,67,review
1,81,Yes,6,6,56,review
8,68,Yes,5,1,58,excellent
7,70,Yes,4,3,60,review
7,83,Yes,9,5,77,excellent
3,82,Yes,9,7,69,review
4,75,Yes,6,9,60,excellent
9,58,No,7,5,52,review
6,45,No,4,5,36,excellent
5,64,No,6,5,49,excellent
3,70,Yes,8,3,50,excellent
9,48,Yes,6,2,48,excellent
5,59,No,8,0,43,excellent
5,49,Yes,8,1,34,excellent
4,76,Yes,9,1,57,excellent
4,66,Yes,6,9,50,review
1,52,Yes,9,6,28,excellent
7,80,Yes,9,5,72,excellent
9,41,Yes,5,7,38,review
3,89,Yes,5,8,68,excellent
2,60,Yes,9,4,41,excellent
3,72,Yes,9,2,53,excellent
1,63,Yes,8,3,36,excellent
6,92,Yes,9,7,80,review
7,83,Yes,4,2,73,review
2,81,No,,1,59,review
8,73,Yes,4,6,67,review
6,99,Yes,5,3,91,excellent
4,48,No,4,7,34,review
5,41,No,7,0,23,excellent
8,94,No,7,7,86,excellent
3,95,Yes,5,4,73,excellent
3,69,Yes,4,1,49,review
4,61,No,6,0,43,review
,85,No,5,5,61,review
9,50,No,7,8,45,review
8,94,Yes,5,8,85,excellent
8,82,Yes,4,8,75,excellent
6,56,No,4,3,44,review
7,75,Yes,4,5,66,excellent
,52,Yes,8,9,45,review
9,46,No,4,5,40,excellent
3,55,No,9,4,38,review
3,72,No,7,1,50,excellent
3,84,Yes,7,6,67,review
3,40,Yes,8,0,21,review
9,50,Yes,7,5,51,review
4,45,Yes,7,4,25,review
7,59,Yes,,4,53,excellent
9,74,No,4,7,71,review
7,83,Yes,,8,77,excellent
9,76,Yes,,6,75,excellent
,80,No,5,9,60,excellent
4,65,No,9,7,49,excellent
8,97,No,5,1,87,review
6,51,No,9,1,40,excellent
5,69,Yes,7,7,56,excellent
,67,Yes,6,5,49,excellent
8,66,No,4,7,59,excellent
1,81,Yes,6,8,59,excellent
9,58,No,7,8,54,review
1,44,Yes,8,5,17,excellent
8,97,Yes,5,7,90,excellent
4,44,Yes,9,1,23,review
9,80,No,9,7,82,excellent
5,66,No,7,2,49,review
3,67,Yes,9,0,50,review
9,65,Yes,7,6,60,excellent
,66,No,6,0,60,excellent
4,91,No,8,0,74,excellent
,88,Yes,5,0,71,excellent
8,81,Yes,9,3,77,review
2,60,No,8,3,34,excellent
,40,Yes,8,9,39,review
6,93,No,8,5,85,review
9,67,No,4,9,64,review
8,87,Yes,8,2,87,excellent
7,97,Yes,7,9,91,excellent
,97,Yes,4,5,73,excellent
3,54,No,4,6,34,excellent
2,94,No,8,0,70,review
5,56,No,9,5,42,excellent
,65,Yes,9,9,55,review
5,59,Yes,9,0,45,review
4,64,No,9,6,49,excellent
5,52,No,7,9,37,excellent
,72,Yes,9,4,55,excellent
,64,No,5,9,38,excellent
5,47,Yes,8,3,35,excellent
9,44,Yes,4,0,41,excellent
9,45,No,5,8,43,review
4,62,No,9,6,46,review
3,91,No,5,1,69,review
1,69,No,4,3,37,review
2,53,No,9,3,31,review
8,93,Yes,5,7,90,excellent
1,62,No,7,1,33,excellent
8,50,Yes,7,4,44,excellent
7,70,No,8,9,62,review
8,45,No,8,7,41,review
6,50,No,,5,38,review
9,52,No,4,3,45,excellent
3,51,No,7,4,34,review
4,93,No,6,1,72,excellent
6,41,Yes,8,4,29,excellent
8,92,No,7,2,83,excellent
5,74,No,9,2,61,review
3,94,No,5,6,75,excellent
6,75,No,7,2,63,excellent
4,56,Yes,7,3,36,excellent
,67,Yes,5,6,62,review
3,67,Yes,8,2,49,review
4,61,Yes,8,9,46,review
7,77,Yes,6,9,69,excellent
7,46,Yes,6,1,35,review
4,54,No,8,9,38,excellent
6,71,No,8,6,62,review
3,50,Yes,8,4,30,review
6,63,No,8,0,52,excellent
2,42,No,,9,16,review
8,69,No,6,7,66,excellent
2,45,No,5,2,20,excellent
7,97,No,4,6,86,excellent
9,41,Yes,5,5,38,excellent
1,53,Yes,9,9,30,excellent
,80,Yes,4,5,71,excellent
7,57,Yes,7,7,49,review
6,90,Yes,9,3,79,excellent
,83,Yes,6,3,69,excellent
6,70,No,4,2,56,excellent
,52,Yes,8,0,47,excellent
2,65,No,9,9,41,excellent
1,83,No,7,2,58,excellent
,51,Yes,4,0,38,review
8,57,Yes,8,5,52,excellent
,48,Yes,,7,25,excellent
1,88,No,7,2,62,excellent
9,60,Yes,9,3,60,review
1,87,Yes,4,4,63,excellent
3,88,Yes,8,6,72,review
8,92,No,6,5,84,excellent
3,95,Yes,7,1,74,review
4,79,Yes,4,6,61,excellent
8,82,No,8,7,77,review
1,63,No,6,0,36,review
6,73,No,9,5,65,excellent
1,47,Yes,8,8,23,review
1,83,Yes,6,6,60,review
8,92,No,4,4,83,review
4,72,Yes,8,9,56,excellent
,62,No,8,9,37,excellent
7,52,No,5,8,43,review
5,93,No,7,1,76,excellent
5,92,No,8,6,83,review
1,88,No,6,8,63,excellent
6,53,Yes,,1,39,excellent
,53,Yes,4,9,48,excellent
9,55,Yes,7,5,53,excellent
8,88,Yes,5,8,84,review
5,77,No,4,2,63,review
1,97,Yes,8,7,73,excellent
9,99,No,9,4,99,review
1,78,No,4,6,52,review
8,65,Yes,4,2,58,review
5,65,Yes,5,7,50,review
3,40,No,6,1,18,excellent
7,71,Yes,4,7,62,review
7,96,Yes,6,1,87,review
,54,Yes,7,6,53,excellent
7,91,Yes,9,1,87,review
3,60,No,5,6,37,excellent
1,57,No,8,0,31,review
8,69,Yes,4,5,63,excellent
3,99,No,9,9,81,review
8,97,No,9,6,95,review
8,52,Yes,6,3,45,review
5,63,Yes,4,0,48,excellent
,69,No,9,5,47,excellent
7,41,No,5,3,31,excellent
5,58,No,8,2,43,review
8,86,Yes,7,3,82,review
9,83,No,,5,80,review
7,86,No,6,4,76,review
7,64,Yes,9,1,57,review
1,89,No,7,1,64,excellent
4,53,Yes,6,2,35,excellent
2,45,Yes,8,5,24,excellent
2,51,No,4,0,30,excellent
2,59,Yes,5,6,38,excellent
4,62,Yes,8,7,45,review
1,69,No,8,6,44,excellent
4,69,Yes,7,2,53,excellent
2,77,No,7,5,53,review
5,97,Yes,5,3,84,review
3,69,Yes,4,4,47,excellent
8,80,No,8,2,76,excellent
4,69,No,9,4,57,review
1,96,No,7,5,71,excellent
1,97,Yes,8,7,74,review
3,75,No,4,5,54,review
9,88,Yes,6,8,84,review
,73,No,4,9,62,review
2,55,Yes,8,9,35,excellent
9,63,No,8,9,62,excellent
2,53,Yes,5,9,30,excellent
3,65,No,8,3,47,review
,47,Yes,7,1,25,excellent
3,53,Yes,9,8,40,review
6,70,Yes,5,2,56,review
,41,Yes,8,6,38,excellent
9,87,No,4,3,86,review
7,43,Yes,8,0,38,review
3,40,No,4,7,17,review
4,94,Yes,4,3,75,review
6,59,No,8,5,48,excellent
5,98,Yes,4,6,87,excellent
,53,Yes,9,7,32,excellent
6,79,No,6,9,68,excellent
3,64,No,5,1,42,excellent
8,99,Yes,8,8,96,excellent
2,64,No,6,9,42,review
1,42,No,4,2,18,excellent
9,44,No,4,0,41,review
3,77,Yes,5,1,54,excellent
1,93,No,6,7,67,review
7,65,Yes,6,9,57,excellent
5,79,No,8,5,65,excellent
,77,No,4,0,62,excellent
1,77,Yes,7,8,56,excellent
9,43,No,8,6,39,review
7,46,No,8,9,38,excellent
8,69,No,8,2,65,review
,69,No,5,6,68,review
6,95,No,5,5,82,review
5,58,No,8,2,44,review
6,78,No,9,7,67,excellent
2,74,Yes,7,0,53,excellent
4,79,Yes,6,4,61,excellent
,72,Yes,6,7,53,review
7,72,Yes,4,2,61,review
9,53,Yes,6,9,49,review
5,77,No,6,5,61,review
6,49,Yes,7,9,38,review
,96,Yes,6,1,76,review
3,67,No,7,8,47,excellent
3,53,Yes,5,1,32,excellent
9,75,No,7,4,71,excellent
7,77,No,5,2,69,review
8,55,Yes,7,9,53,excellent
9,99,Yes,8,8,100,excellent
,60,No,9,8,49,review
4,67,No,5,6,48,review
1,72,Yes,5,9,45,review
8,45,No,6,4,40,review
7,80,Yes,5,8,71,review
2,54,Yes,7,6,34,review
,83,Yes,8,1,76,review
5,42,Yes,8,9,29,review
7,82,No,6,0,71,excellent
4,86,No,7,9,69,review
5,74,Yes,7,9,58,excellent
8,53,Yes,4,3,43,review
1,41,No,5,9,17,review
,68,No,6,7,41,excellent
4,43,No,8,5,27,excellent
3,65,No,9,1,45,review
2,90,No,4,4,65,excellent
3,51,Yes,7,8,31,excellent
1,41,Yes,5,5,14,review
1,56,Yes,8,5,33,review
6,74,Yes,4,6,60,excellent
5,49,No,7,4,34,review
8,87,No,8,2,82,review
2,61,Yes,8,2,40,review
4,80,Yes,,4,66,excellent
8,82,No,7,3,76,excellent
6,60,Yes,6,4,46,excellent
1,54,Yes,8,8,31,excellent
4,74,No,7,4,57,excellent
1,87,No,9,3,65,excellent
2,60,No,9,3,38,excellent
5,60,Yes,4,0,46,excellent
8,60,No,5,9,53,review
,99,No,9,3,97,excellent
3,83,Yes,6,3,63,excellent
,71,No,7,8,55,excellent
6,94,Yes,5,3,79,excellent
3,44,Yes,6,6,26,excellent
2,78,Yes,8,0,55,excellent
6,48,Yes,5,6,37,excellent
5,92,No,9,1,78,review
5,57,Yes,6,7,45,review
5,60,No,7,0,45,excellent
5,47,No,7,9,34,review
,83,No,6,2,66,review
7,91,No,8,7,79,review
6,73,No,9,9,63,excellent
4,49,Yes,6,7,32,review
2,90,No,4,4,64,excellent
9,80,Yes,6,4,78,excellent
,96,Yes,6,7,69,review
4,63,Yes,9,9,46,review
1,79,No,7,4,54,excellent
6,63,No,8,8,51,excellent
,95,No,6,0,78,review
5,71,No,5,4,54,review
5,95,Yes,7,2,80,review
9,72,No,7,2,67,review
1,77,No,6,1,48,review
2,83,Yes,9,2,61,review
6,96,Yes,,6,83,excellent
5,95,Yes,6,7,82,excellent
7,90,Yes,5,7,78,excellent
3,98,Yes,7,7,78,excellent
3,88,Yes,5,0,70,excellent
2,73,Yes,6,6,48,excellent
3,50,No,4,1,26,review
1,70,No,4,9,46,review
5,57,Yes,5,3,42,excellent
5,62,Yes,9,4,46,excellent
,99,No,6,0,91,review
4,61,Yes,8,3,47,review
3,82,Yes,4,3,61,excellent
1,57,Yes,7,8,31,review
8,79,Yes,6,8,71,review
3,86,Yes,6,9,66,excellent
2,80,No,4,0,52,excellent
4,86,Yes,8,7,71,excellent
3,78,Yes,7,3,60,excellent
1,59,Yes,8,3,32,excellent
3,52,No,7,4,33,excellent
2,84,No,4,1,56,review
8,40,Yes,6,0,32,review
6,91,Yes,7,4,76,excellent
9,43,Yes,6,6,40,review
8,63,Yes,5,9,60,review
3,75,No,5,8,54,review
5,75,No,4,1,59,review
7,84,Yes,,7,74,review
5,41,Yes,9,6,29,excellent
8,67,No,4,1,61,review
,65,No,5,4,50,review
,62,Yes,7,6,36,excellent
5,54,Yes,8,2,41,excellent
4,75,Yes,4,1,60,review
6,66,No,8,5,56,excellent
3,45,No,8,9,23,excellent
5,74,No,5,5,63,excellent
2,78,No,9,3,54,review
6,77,Yes,7,0,64,excellent
6,74,No,5,4,64,excellent
,75,No,,0,58,excellent
6,49,No,5,7,38,review
,69,Yes,5,1,60,excellent
5,92,No,5,8,79,excellent
1,80,No,4,8,57,review
8,77,No,4,2,69,review
4,68,Yes,5,5,51,excellent
9,91,No,5,8,86,review
6,98,Yes,8,6,90,excellent
1,82,Yes,7,3,57,review
,78,No,8,2,61,review
3,89,Yes,9,1,71,excellent
4,43,No,7,9,30,review
6,44,Yes,9,9,34,excellent
7,43,Yes,7,0,34,excellent
4,75,No,5,9,58,excellent
6,98,No,8,0,85,excellent
1,84,Yes,7,3,55,excellent
8,55,Yes,9,3,51,review
7,64,Yes,7,8,53,excellent
9,53,Yes,4,9,51,review
3,50,No,7,0,31,review
2,68,Yes,5,3,44,excellent
1,73,Yes,6,2,48,excellent
3,61,No,4,8,41,review
5,53,Yes,6,4,40,review
2,95,No,5,8,72,excellent
3,63,No,6,9,41,review
4,98,No,7,5,78,excellent
7,78,Yes,6,8,70,excellent
,65,No,8,0,41,review
,82,No,5,3,78,review
8,75,No,8,3,70,excellent
4,78,Yes,6,9,61,review
1,55,Yes,8,9,33,review
1,97,Yes,4,5,71,review
1,77,Yes,6,9,51,review
1,98,No,9,0,72,review
8,71,No,8,9,69,excellent
3,45,No,7,4,21,excellent
6,73,Yes,6,2,61,excellent
3,95,No,9,0,76,excellent
5,47,Yes,4,5,30,review
7,69,Yes,7,2,59,review
2,66,Yes,6,3,45,excellent
6,46,No,7,8,39,excellent
6,66,No,6,1,53,excellent
3,64,Yes,6,0,43,excellent
6,95,No,5,9,85,excellent
5,85,Yes,8,5,70,review
2,80,No,6,0,56,excellent
9,54,Yes,4,0,52,excellent
8,64,Yes,9,6,65,excellent
3,61,Yes,8,1,39,excellent
8,57,No,5,3,48,excellent
9,51,No,8,3,47,excellent
,62,No,8,1,41,excellent
,90,No,6,5,72,excellent
2,84,No,4,9,61,excellent
8,78,Yes,6,1,74,excellent
1,64,No,4,7,38,review
8,49,Yes,4,3,42,excellent
7,69,No,7,0,60,excellent
7,49,No,6,6,35,excellent
3,73,No,5,5,52,review
1,85,Yes,9,5,61,excellent
4,52,No,8,2,32,review
9,93,Yes,7,9,95,excellent
5,68,No,5,6,53,review
1,77,Yes,9,5,54,excellent
5,80,Yes,9,9,70,review
8,84,Yes,6,9,78,review
,48,Yes,,8,42,excellent
5,52,No,6,2,33,review
9,76,No,9,2,75,excellent
,53,Yes,,3,26,excellent
4,76,No,7,2,58,excellent
3,48,Yes,5,3,29,review
,47,No,9,5,29,excellent
8,78,No,7,0,70,review
7,79,No,5,1,67,excellent
9,93,Yes,7,9,93,excellent
2,42,No,8,5,21,review
4,94,Yes,4,5,74,review
,95,No,4,0,82,review
3,86,Yes,4,5,65,excellent
8,79,No,8,8,75,review
3,72,Yes,9,7,55,excellent
2,71,Yes,9,9,54,excellent
3,46,Yes,8,4,26,excellent
6,58,No,4,3,48,excellent
2,73,Yes,4,5,49,review
8,53,No,5,4,49,excellent
